Topic,Count,Symptom_Label,Name,Representation,Representative_Docs
0,146,Insomnia/Hypersomnia,0_sleep_tulo_night_dont,"['sleep', 'tulo', 'night']","['Like the sleep is too much', ""When I don't take it, I don't sleep even"", ""I don't sleep""]"
1,105,Disorganized behaviors,1_akola_naked_engoye_people,"['akola', 'naked', 'engoye']","['Sometimes out of the blue like say in the morning you hear her shouting, talking,talking to people like trying to you know,abuse people who she feels are coming to attack her', 'Sometimes out of the blue like say in the morning you hear her shouting , talking talking to people like trying to you know, abuse people who she feels are trying to attack her', 'Sometimes out of the blue like say in the morning you hear her shouting , talking talking to people like trying to you know, abuse people who she feels are trying to attack her']"
2,100,"Impairment in functioning socially, occupationally, and healthwise",2_ebirowoozo_job_mpulira_mulimu,"['ebirowoozo', 'job', 'mpulira']","['She can not work, whenever she reports that the working place, hmm, she can not stay there she comes back home', 'She can not work, whenever she reports at working place, umm, she can not stay there, she comes back home, mmh?', 'Naye obeera awo ebirowoozo nebikuyikira kkumu kkumu. Oluusi nobeera kkumulimu naye nga ebirowoozo tebiriwo']"
3,65,Suicidal behaviour,3_suicide_commit_njagala_obutwa,"['suicide', 'commit', 'njagala']","['She is attempting like in december, she tried to commit suicide', 'She had always tried to commit suicide, hmm, like three times', 'She always tried to commit suicide, hmm, like three times']"
4,58,Hallucination,4_amaloboozi_awulira_hallucinations_gantawanya,"['amaloboozi', 'awulira', 'hallucinations']","['Kati agamba aba alyawo nga awulira  kale amaloboozi agamugamba ddayo webake', 'Amaloboozi gantawanya', 'Amaloboozi gantawanya']"
5,40,Trouble concentrating on things,5_concentration_lost_lacked_lack,"['concentration', 'lost', 'lacked']","['He has lost concentration', 'I eeh I have lost concentration', 'He has lost concentration']"
6,36,Poor appetite or overeating,6_eat_appetite_meere_refused,"['eat', 'appetite', 'meere']","[""She don't want to eat, she refused to eat"", ""She don't want to eat, hmm, she refused to eat"", ""She don't want to eat, she refused to eat""]"
7,34,Disorganized speech,7_ebitakwatagana_ayogera_ebintu_things,"['ebitakwatagana', 'ayogera', 'ebintu']","['Waliwo wayogera ebitakwatagana', 'Statement zaakola ziyinza omuviramu obuzibu kubanga akola statement eziri politically damaging, eeh, hmm, eeh, ayogera ku present present yatta gundi,hmm, ebintu ebyo biyinza omuviramu okubeera nga aluuzinga abulamu', 'Ayogera ebitakwatagana']"
8,33,"Feeling nervous, anxious or on edge",8_fears_fear_negative_developed,"['fears', 'fear', 'negative']","['I developed fears', 'Of to much fear, negative thinking', 'Too much fear, negative thinking']"
9,29,Feeling tired or having low energy,9_tired_times_feel_body,"['tired', 'times', 'feel']","[""At times I'm feel so very tired"", 'Some times I feel so very tired', 'At times I feel tired']"
10,28,Over talkative,10_ayogera_talk_binji_binjibinji,"['ayogera', 'talk', 'binji']","['I could talk a lot', 'I talk a lot', 'I talk a lot like that']"
11,26,Feelings of worthlessness or guilt,11_life_worthlessness_hopelessness_manage,"['life', 'worthlessness', 'hopelessness']","['And even being hopeless like he he he in his thinking, he thinks that his his life is down  he can not  like [?] now life like that, those thoughts', 'Up to where you reach a point where you are feeling that worthlessness like you feeling like now what is life for', 'Up to when you reach a point when you feeling that worthlessness, what is life']"
12,22,Low mood,12_depression_okwo_sadness_kali,"['depression', 'okwo', 'sadness']","['I was going through depression', ""Nfunamu o' okwo kwenyamira okwo"", ""Nfunamu o' okwo kwenyamira okwo""]"
13,17,Isolation and withdrawal,13_living_live_anybody_prefer,"['living', 'live', 'anybody']","[""If she should be living alone, she doesn't want to live with anybody else."", ""She is been living alone, she doesn't want to live with anybody else"", ""She's been living alone, she doesn't want to live with anybody else you get""]"
14,16,Anhedonia,14_depression_omuntu_okwekyawa_amanyi,"['depression', 'omuntu', 'okwekyawa']","['I was going through depression', 'Labika elinga sort of depression', 'Nowobikira omuntu eyafudde nga wanga kati simangyi webagyiga sikyajukira omuntu anyigatya, omuntu assanyukatya']"
15,15,Worry,15_worries_alot_lot_worried,"['worries', 'alot', 'lot']","[""There is still a lot of, there's still a lot of worries"", 'I feel alot of, I feel alot of worries', 'I fear a lot of [?] feel a lot of worries']"
16,11,Trouble relaxing,16_best_fear_try_tobeera,"['best', 'fear', 'try']","['Nga tobeera wamu toterera', 'Try my best  to distract my self but they keep coming', 'Holding on, being patient, all things are difficult, I overthink I try my best to distruct my self but they keep coming']"
17,9,Delusions,17_imagines_paranoia_people_trust,"['imagines', 'paranoia', 'people']","['She imagines there people kinda against family', ""She has this paranoia where she imagines there are people who are against [?] her family. She doesn't trust anyone and that kind of thing"", ""She has this paranoia where she imagines there are so people against the family, she doesn't trust any one and that kind of things""]"
18,8,Psychomotor retardation or agitation,18_bipolar_mulwaddde_aggressive_violent,"['bipolar', 'mulwaddde', 'aggressive']","['Developed violent behaviour, decreased sleep, restlessness, over talking', 'Mulwaddde wa bipolar, ali too aggressive', 'Kubanga ono mulwaddde wa bipolar, ali too aggressive']"
19,8,Passivity phenomena,19_mind_maybe_asitusewo_situation,"['mind', 'maybe', 'asitusewo']","['You feel like ooh maybe people know what you thinking', 'My issue is like how do you deal with the this situation where you feel like  may be people are reading your mind', 'Situation where you feel like maybe people are already in your mind']"
20,3,Excessive happiness,20_happy_2021_happened_feel,"['happy', '2021', 'happened']","['I, I feel so happy', 'That thing happened to me in 2021 also, i was, i feel so happy', 'In 2021, i was feel so happy.']"
21,3,Palpitations,21_pain_gunewuuba_wenzimira_omutia,"['pain', 'gunewuuba', 'wenzimira']","['Even the body endings sweat', 'Naye wenzimira, mpulira omutia nga gunewuuba', 'I feel alot of chest pain and unexplainable  pain in stomach']"
22,3,Excessive energy,22_nayasayasa_kurwana_piki_mangyi,"['nayasayasa', 'kurwana', 'piki']","['Eeh amanyi mangyi', 'Natandika kurwana', 'Yamu kuba kuba nayasayasa piki']"
23,1,Fear of dying,23_negatives_especially_excessive_yeah,"['negatives', 'especially', 'excessive']","['Excessive fear like I think, Yeah, especially am always thinking negatives']"
24,1,Restlesness/Hyperactive,24_restlessness_behaviour_decreased_developed,"['restlessness', 'behaviour', 'decreased']","['Developed violent behaviour, decreased sleep, restlessness']"
